,duration_sec
0,788
1,584
2,596
3,560
4,497
5,1341
6,619
7,1105
8,752
9,664
10,353
11,1256
12,301
13,743
14,500
15,857
16,1235
17,858
18,914
20,564
21,989
22,1055
23,917
24,366
26,626
27,442
28,973
29,737
30,963
31,828
32,951
33,480
34,1443
35,797
36,427
37,655
38,474
39,463
40,456
41,506
42,1018
44,1435
50,228
51,173
52,244
53,182
54,217
55,201
56,251
57,625
58,220
59,188
61,212
62,240
63,415
64,197
65,192
66,296
67,179
68,195
69,188
70,224
71,259
72,191
73,202
74,173
75,220
76,306
77,190
78,189
79,222
80,233
81,212
82,251
83,208
84,200
85,269
86,204
87,246
88,207
89,256
90,218
91,251
92,228
93,327
94,314
95,243
96,375
97,254
98,484
99,411
100,577
101,547
102,415
103,295
104,313
105,291
106,358
107,294
108,336
109,253
110,325
111,342
112,493
113,321
114,312
115,445
116,370
117,398
118,298
119,274
120,202
121,360
122,283
123,226
124,268
125,284
126,267
127,349
128,206
129,450
130,342
131,325
132,389
133,309
134,357
135,285
136,280
137,418
138,352
139,277
140,347
141,310
142,312
143,322
144,321
145,341
146,312
147,394
148,852
149,324
150,557
151,309
152,304
153,414
154,290
155,420
156,237
157,325
158,336
159,192
160,320
161,336
162,325
163,275
164,323
165,289
166,352
167,985
168,938
169,1115
171,553
172,1010
173,435
174,619
175,602
177,615
178,469
179,468
180,243
181,215
182,587
183,412
184,406
185,210
186,437
187,250
188,300
190,685
191,679
193,732
194,609
195,648
196,1329
197,642
198,685
200,1193
201,911
202,500
203,764
204,197
205,296
206,271
207,696
208,186
209,102
210,670
211,798
212,715
213,696
214,562
215,1193
216,818
217,600
218,667
219,1304
220,632
221,516
222,134
223,199
225,576
226,512
227,615
228,722
229,1083
230,384
231,390
232,472
233,394
234,457
235,1405
236,711
237,465
238,565
239,333
240,1105
241,1134
243,96
244,129
245,190
246,182
247,130
248,303
249,410
250,426
251,241
252,524
253,384
254,265
256,316
257,321
258,665
259,616
260,602
261,485
262,417
263,513
264,369
265,600
266,671
267,720
268,609
269,737
270,696
271,755
272,660
273,360
274,292
275,426
276,314
277,474
278,384
279,353
280,1377
281,1020
282,762
283,878
284,1293
285,590
286,699
287,1340
288,748
289,532
290,503
291,618
292,378
293,693
294,456
295,1010
296,596
297,992
298,961
299,536
300,525
301,523
302,497
303,439
304,911
305,523
306,772
307,601
308,431
309,249
310,341
311,339
312,397
313,435
314,164
315,270
317,582
318,607
319,980
320,1136
321,635
322,505
324,938
325,1017
326,243
327,146
328,131
329,124
330,146
331,126
332,305
333,515
334,1043
335,813
336,1017
337,1162
338,1009
339,961
340,1104
341,905
342,916
343,1015
344,628
345,747
346,526
347,466
348,495
349,635
350,472
351,981
353,1215
354,1098
355,263
356,232
357,161
358,917
359,336
360,653
361,567
362,991
363,589
364,576
365,580
367,527
368,651
369,962
370,743
371,188
372,764
373,193
374,457
375,501
376,413
377,708
378,927
379,231
380,283
381,227
382,299
383,387
384,422
385,415
386,907
387,719
388,983
389,275
390,321
391,305
392,260
393,273
394,267
395,381
396,915
397,1013
398,993
399,1015
400,1291
401,936
402,929
403,337
404,672
405,483
406,407
407,418
408,445
409,370
410,155
411,221
412,168
413,268
414,270
415,236
416,197
417,250
418,209
419,233
420,225
421,161
422,302
423,287
424,281
425,224
426,306
427,258
428,225
429,449
430,581
431,957
432,358
433,413
434,245
435,211
436,325
438,496
439,471
440,328
441,379
442,523
443,975
444,855
445,1007
446,531
447,576
448,763
449,716
450,504
451,542
452,787
453,813
454,1217
455,720
457,660
458,941
459,635
460,1230
461,721
462,642
463,587
464,1291
465,704
466,822
467,926
468,696
469,526
470,676
471,800
472,707
473,979
474,613
475,570
476,1082
477,1128
478,638
479,381
480,365
481,553
482,325
483,472
484,591
485,661
486,816
487,309
488,583
489,258
490,333
491,261
492,254
493,268
494,261
495,225
496,223
497,210
498,329
499,197
500,445
501,612
502,565
503,911
504,583
506,637
507,630
508,596
509,400
510,405
511,501
512,691
513,560
514,340
515,555
516,425
517,597
518,412
519,482
520,532
521,415
522,587
523,439
524,542
525,414
526,434
527,491
528,398
529,614
530,522
531,321
532,700
533,477
534,553
535,397
536,402
537,1066
538,1164
539,1168
540,986
541,388
542,428
543,355
544,936
545,299
546,281
547,374
548,813
549,362
550,292
551,400
552,429
553,464
554,701
555,427
556,958
557,870
558,895
559,1094
560,1003
561,1285
562,1125
563,865
564,835
565,1423
566,429
567,559
568,357
569,398
570,458
571,407
572,515
573,413
574,544
575,512
576,422
577,417
578,684
579,325
580,326
581,300
582,348
583,269
585,795
586,876
587,984
588,558
589,323
590,577
591,1323
592,567
593,833
594,748
595,406
596,1111
597,207
598,238
599,134
600,108
601,148
602,206
603,230
604,180
605,225
607,606
608,354
609,316
610,328
611,388
612,294
613,266
614,437
615,495
616,374
617,1241
618,569
619,705
620,689
621,527
622,333
623,464
624,438
625,511
626,446
627,446
628,463
629,547
630,514
631,481
632,1358
633,1350
634,877
635,774
636,832
637,808
638,812
639,683
640,708
641,880
642,510
643,465
644,368
645,379
646,420
647,371
648,657
649,385
650,340
651,380
652,605
654,456
655,474
656,257
657,196
658,1279
659,681
660,958
661,930
662,826
663,874
664,999
665,621
666,1316
667,607
668,806
669,322
670,275
671,406
673,879
674,840
675,1174
676,1124
677,1208
678,522
679,448
680,366
681,355
682,284
683,1131
684,933
685,964
686,979
687,939
688,852
689,963
690,887
691,1032
692,1133
693,629
694,385
695,275
696,564
697,400
698,316
699,354
700,362
701,771
702,354
703,484
704,514
705,1369
706,206
707,400
708,448
709,495
710,527
711,518
712,384
713,524
714,687
715,647
717,152
718,418
719,540
720,304
721,338
722,778
723,626
